id,age,income,tenure9,district
4596,6,3,7.41,1100
4597,,,3,1300
4598,2,6,8.75,1200
4599,6,3,10.66,1200
4600,,,5.08,1200
4601,,,6.16,1200
4602,,,5.5,1200
4603,4,5,9.91,1200
4604,,,6.66,1300
4605,5,4,11.75,1200
4606,,,8.5,1200
4607,5,6,26.5,1200
4608,,,0.33,1200
4609,3,6,12,1200
4610,,,9.33,1100
4611,5,6,6.75,1200
4612,4,6,4.5,1200
4613,,,15.58,1200
4614,2,5,3.75,1200
4615,4,6,5,1200
4616,6,6,27.75,1200
4617,,,10.58,1200
4618,,,12.16,1100
4619,,9,11.58,1200
4620,7,5,24.33,1200
4621,4,6,10.66,1200
4622,3,3,1.16,1200
4623,,,2.16,1200
4624,,,12.83,1300
4625,4,7,10.16,1100
4626,2,1,3.33,1300
4627,4,7,6.75,1200
4628,,,3.16,1300
4629,,,9.83,1100
4630,,,1,1200
4631,2,8,11.83,1200
4632,2,1,4.25,1200
4633,1,6,3.58,1300
4634,,,19.16,1300
4635,6,6,30.16,1300
4636,3,9,15.5,1200
4637,3,6,8.5,1200
4638,2,5,10.5,1200
4639,6,7,23.25,1200
4640,,,1.41,1200
4641,3,8,16.08,1200
4642,3,6,3.58,1200
4643,1,3,23.75,1100
4644,,,0.66,1200
4645,4,6,11.08,1200
4646,,,1.75,1200
4647,3,6,2.66,1200
4648,3,6,15.41,1200
4649,5,6,11.66,1200
4650,4,6,4,1200
4651,,,2.41,1200
4652,2,3,2.91,1200
4653,4,5,6.66,1200
4654,3,7,6.91,1200
4655,2,9,6.5,1200
4656,4,5,16.83,1200
4657,,,25.25,1300
4658,,,23.25,1200
4659,4,1,14.16,1200
4660,3,3,6.75,1200
4661,3,7,15.08,1200
4662,,,11.25,1200
4663,,,21.33,1100
4664,,6,0.5,1200
4665,4,5,11.5,1200
4666,1,8,3.5,1200
4667,3,8,7.41,1200
4668,4,6,21.33,1200
4669,,,24.16,1200
4670,,,8.75,1200
4671,6,3,22.08,1200
4672,1,1,5.33,1300
4673,4,5,4.66,1300
4674,,,7.58,1200
4675,,,17.33,1200
4676,4,9,10.75,1200
4677,7,5,3.75,1200
4678,4,7,5.25,1200
4679,2,6,1.25,1200
4680,2,1,1.33,1100
4681,5,3,28.75,1200
4682,3,5,10.83,1200
4683,1,6,1.58,1200
4684,5,9,6.33,1200
4685,,,0.25,1100
4686,,,1.08,1200
4687,5,5,9.33,1200
4688,3,3,11.83,1200
4689,3,8,16,1200
4690,2,5,2.33,1300
4691,7,7,22.5,1200
4692,6,6,3.91,1200
4693,,,4.25,1300
4694,2,4,3.66,1200
4695,,,8.58,1200
4696,,,15.75,1200
4697,4,6,20,1200
4698,7,6,17.08,1200
4699,,,2.75,1300
4700,5,1,4.75,1200
4701,,6,1.16,1200
4702,4,6,1.58,1200
4703,5,6,7.66,1200
4704,,,0.16,1100
4705,3,6,1.66,1200
4706,,,4.08,1200
4707,,,21.91,1200
4708,6,7,31.83,1200
4709,2,9,1.83,1200
4710,,,1.75,1200
4711,5,4,27.33,1200
4712,4,3,27.41,1200
4713,7,6,25.33,1200
4714,2,1,6.33,1200
4715,3,4,3.08,1300
4716,3,9,15.5,1200
4717,,2,19.25,1200
4718,4,9,9.33,1200
4719,4,5,3.41,1200
4720,2,3,8.25,1200
4721,,,4,1100
4722,4,5,6.16,1100
4723,3,7,14.58,1200
4724,2,8,3.16,1200
4725,3,6,6.66,1200
4726,,,9.75,1200
4727,6,4,2.58,1200
4728,3,7,7.91,1200
4729,2,7,8.83,1200
4730,3,3,4.33,1200
4731,4,7,16,1200
4732,2,7,5.66,1200
4733,,,1.66,1200
4734,4,6,5.66,1200
4735,5,5,3.75,1200
4736,4,5,0.66,1100
4737,5,8,4.5,1300
4738,4,4,3.16,1200
4739,3,6,19.33,1300
4740,,,13.5,1300
4741,3,3,5.5,1300
4742,7,6,24.75,1200
4743,4,4,4,1200
4744,7,5,16,1300
4745,,8,14.66,1200
4746,,,5.75,1200
4747,4,6,23.16,1100
4748,5,3,16.16,1300
4749,3,6,9.41,1300
4750,,,8.91,1200
4751,,,2.5,1200
4752,6,6,10.08,1200
4753,1,,8.58,1200
4754,6,6,9.83,1200
4755,,,6.25,1200
4756,2,6,3.08,1200
4757,4,1,0.33,1300
4758,5,6,26.75,1200
4759,7,4,28,1100
4760,7,7,6.83,1300
4761,,,12.83,1200
4762,5,4,23,1100
4763,4,3,4.66,1200
4764,,,4.5,1200
4765,4,6,2,1100
4766,5,1,4,1100
4767,7,3,19,1100
4768,2,3,1.16,1200
4769,2,1,5.33,1200
4770,3,5,8.91,1200
4771,2,9,14.58,1200
4772,3,5,9.91,1200
4773,6,5,6.66,1200
4774,1,6,7.33,1200
4775,,,2.33,1300
4776,,,8.25,1200
4777,3,5,11.75,1200
4778,4,3,6,1200
4779,4,4,12.08,1200
4780,4,6,2.33,1300
4781,3,2,4.66,1200
4782,3,5,9.5,1200
4783,4,6,8.58,1200
4784,4,5,6.41,1200
4785,3,7,4.58,1200
4786,,,9.58,1200
4787,7,1,7.66,1200
4788,5,5,11.83,1200
4789,3,7,3.66,1200
4790,,,25.5,1300
4791,2,3,4.66,1200
4792,,,4.25,1200
4793,7,6,5.66,1200
4794,,,7.58,1300
4795,7,7,9,1200
4796,5,3,26.08,1200
4797,4,1,8.16,1100
4798,7,5,7.91,1100
4799,5,3,21.16,1300
4800,7,6,2.58,1200
4801,4,9,18.25,1200
4802,7,9,10.75,1200
4803,,,4.75,1100
4804,5,3,1.33,1200
4805,,1,3.41,1300
4806,3,7,19.58,1200
4807,3,9,13.25,1200
4808,4,5,2.5,1200
4809,,,3.16,1300
4810,5,5,15.66,1300
4811,1,,4.16,1100
4812,2,1,1.33,1300
4813,6,2,6.41,1200
4814,3,7,3.75,1200
4815,6,2,26.58,1200
4816,2,1,4.91,1200
4817,5,6,9.33,1200
4818,,,18.08,1200
4819,4,,5.91,1200
4820,4,6,2.08,1200
4821,,,7.33,1300
4822,5,3,21.25,1100
4823,,,10.83,1200
4824,5,9,12.66,1200
4825,3,4,10.08,1300
4826,1,6,4.5,1200
4827,7,1,17.33,1200
4828,,,25.58,1200
4829,7,1,33.08,1300
4830,2,9,5.16,1200
4831,3,5,6.5,1200
4832,4,7,0.91,1200
4833,,,0.58,1100
4834,3,9,26.5,1200
4835,,,0.91,1200
4836,,,29.58,1200
4837,2,2,4.25,1300
4838,2,6,5.66,1200
4839,,,6.75,1200
4840,,,1.41,1200
4841,,,1.33,1200
4842,3,9,16.91,1200
4843,6,5,0.75,1200
4844,2,8,17.75,1200
4845,,,7,1200
4846,5,6,22.33,1200
4847,5,3,2.91,1200
4848,5,6,10.41,1200
4849,6,5,10.66,1200
4850,2,1,4.33,1200
4851,4,4,13.16,1300
4852,3,9,9.66,1200
4853,2,4,12.5,1300
4854,4,6,4.66,1200
4855,,,0.5,1300
4856,2,7,5.16,1200
4857,5,5,21.33,1200
4858,7,6,19.08,1200
4859,4,9,2.66,1200
4860,6,4,5.5,1200
4861,5,9,31.5,1200
4862,,,3.75,1200
4863,5,7,7.16,1200
4864,2,3,2,1200
4865,2,5,16.41,1200
4866,,,1.91,1200
4867,2,4,12.58,1100
4868,,1,8.41,1300
4869,3,5,4,1100
4870,6,8,28.41,1200
4871,1,1,5.41,1200
4872,6,9,14.08,1200
4873,3,6,6.5,1200
4874,4,5,14.08,1200
4875,4,8,6.08,1300
4876,,,6.5,1200
4877,5,7,3.58,1200
4878,4,6,1.33,1200
4879,,,8.75,1300
4880,3,8,4.75,1200
4881,3,6,0.16,1200
4882,3,3,7.5,1200
4883,7,3,16.25,1200
4884,3,6,24.66,1300
4885,,,1.58,1100
4886,,,22.08,1300
4887,,,20.25,1200
4888,4,8,3.33,1200
4889,5,1,19.08,1100
4890,7,6,24.5,1200
4891,4,9,21.16,1200
4892,5,8,6.5,1200
4893,2,,3.83,1200
4894,3,2,5.58,1300
4895,6,6,4.16,1200
4896,7,1,28.41,1100
4897,3,9,11.16,1200
4898,4,9,14.5,1200
4899,7,3,25.08,1200
4900,,,1.83,1200
4901,7,4,34.5,1100
4902,2,8,13.83,1200
4903,,,4.41,1300
4904,,,0.66,1300
4905,7,3,32.75,1200
4906,,,3.58,1200
4907,4,6,17.5,1300
4908,2,3,8.25,1200
4909,,,2.75,1200
4910,4,7,3.5,1100
4911,,,5.66,1100
4912,1,3,2.25,1200
4913,,,0.5,1200
4914,2,7,5.91,1200
4915,2,6,10.91,1300
4916,2,3,2.83,1200
4917,,,4.5,1200
4918,7,2,2.58,1200
4919,,,5.83,1200
4920,6,3,12.25,1300
4921,,,1.16,1200
4922,3,7,2,1300
4923,3,9,10.66,1200
4924,3,6,3.75,1200
4925,5,8,13.91,1200
4926,,,3.25,1200
4927,2,3,4.41,1200
4928,2,5,2.5,1200
4929,7,3,30,1100
4930,3,3,1.83,1200
4931,,,2.16,1200
4932,5,6,0.41,1100
4933,2,1,5.5,1200
4934,4,9,4.58,1200
4935,,,0.66,1200
4936,3,9,1.83,1200
4937,3,9,6.5,1200
4938,,,3.41,1200
4939,3,8,11.66,1200
4940,6,4,14,1200
4941,2,,0.58,1200
4942,3,7,4.41,1200
4943,7,3,20.08,1100
4944,3,,3.33,1100
4945,,,5.16,1200
4946,7,9,40.66,1200
4947,4,7,13.75,1200
4948,3,8,3.58,1300
4949,6,9,22.41,1200
4950,7,1,21.16,1200
4951,,,12,1200
4952,5,6,12.33,1200
4953,,,1.66,1200
4954,4,5,6,1100
4955,4,6,16.5,1200
4956,2,7,6.58,1200
4957,,,3.33,1200
4958,,,1.33,1200
4959,3,4,8.08,1100
4960,,,3.16,1200
4961,4,9,10.33,1200
4962,,,0.66,1100
4963,,,3.5,1100
4964,,,2,1200
4965,,,0.25,1300
4966,5,2,5.33,1200
4967,5,4,29.25,1100
4968,5,6,20.33,1200
4969,,,3.83,1200
4970,,,4.66,1200
4971,4,6,3.83,1100
4972,4,6,19.25,1200
4973,2,7,1.41,1100
4974,5,4,16.41,1200
4975,,6,1.83,1200
4976,,,0.16,1200
4977,4,7,6.25,1200
4978,4,9,14.33,1200
4979,3,8,19.33,1200
4980,3,5,3.66,1100
4981,7,4,37.25,1200
4982,6,3,10.75,1200
4983,3,5,6.33,1300
4984,5,6,11,1200
4985,4,6,6.33,1200
4986,2,9,22.41,1200
4987,4,6,18.08,1300
4988,4,5,16.58,1300
4989,,,0.83,1200
4990,3,6,0.16,1300
4991,3,5,6.5,1100
4992,5,2,5.83,1200
4993,3,1,4.58,1200
4994,3,3,4.08,1300
4995,7,9,35.08,1200
4996,3,6,12.66,1200
4997,,,0.5,1200
4998,6,3,22.08,1200
4999,5,7,21,1200
5000,6,3,26.5,1300
5001,1,1,3.75,1100
5002,7,4,36.41,1200
5003,3,8,10.25,1200
5004,,,9.75,1200
5005,4,8,9.91,1200
5006,5,8,22.08,1200
5007,2,7,6.41,1200
5008,,,5.25,1200
5009,,,0.25,1200
5010,7,5,3.83,1300
5011,1,6,4.75,1300
5012,,,5.33,1100
5013,7,7,0.83,1200
5014,3,7,13.16,1200
5015,,,0.5,1200
5016,,,2.25,1200
5017,,,2.25,1300
5018,4,5,25.25,1200
5019,,,3.5,1200
5020,5,4,31.66,1300
5021,1,7,1.25,1200
5022,,,11.33,1200
5023,6,5,30.08,1200
5024,4,4,6.66,1200
5025,3,9,1.5,1200
5026,7,2,5.5,1200
5027,,,14.5,1200
5028,1,2,3.25,1200
5029,3,4,4.25,1200
5030,6,5,23.33,1200
5031,4,6,21.75,1200
5032,3,4,2,1100
5033,,,2.83,1200
5034,7,1,37.66,1200
5035,4,3,20.83,1200
5036,5,6,10.75,1300
5037,,5,12.5,1100
5038,6,9,30.08,1200
5039,2,1,7.58,1200
5040,6,6,29.5,1200
5041,,,0.58,1200
5042,,,10.5,1200
5043,5,3,11.25,1200
5044,5,3,7.58,1200
5045,,,5.41,1300
5046,6,3,6.33,1200
5047,6,9,19.5,1200
5048,5,3,29.41,1200
5049,5,6,14.33,1200
5050,3,6,4.08,1200
5051,,,0.5,1200
5052,7,2,4.75,1200
5053,7,1,1,1200
5054,6,3,21.66,1200
5055,,,2.66,1200
5056,3,5,6.75,1200
5057,7,1,4.33,1200
5058,3,6,2.83,1200
5059,4,6,7.83,1200
5060,5,5,14.83,1300
5061,6,9,6.25,1300
5062,,,2.75,1200
5063,5,7,7.83,1200
5064,4,6,14.08,1200
5065,,,10.66,1200
5066,,,8.83,1200
5067,3,8,10,1200
5068,5,5,11.25,1200
5069,3,9,5.66,1200
5070,3,5,5.16,1100
5071,7,3,10.41,1200
5072,,,30.58,1200
5073,4,8,24.58,1200
5074,3,5,5.41,1200
5075,,,13.91,1200
5076,,3,1.58,1100
5077,7,1,9.16,1100
5078,3,8,2,1200
5079,4,6,11.91,1200
5080,,,3.66,1200
5081,2,1,3.83,1200
5082,,,3.58,1100
5083,,,13.41,1200
5084,7,5,11.41,1200
5085,3,5,0.16,1300
5086,,,10.41,1200
5087,3,6,15.75,1200
5088,4,1,0.16,1200
5089,5,7,7.25,1200
5090,7,5,15.25,1200
5091,7,1,1.58,1200
5092,4,3,20.33,1200
5093,5,7,8,1200
5094,2,4,5.91,1200
5095,2,5,0.58,1100
5096,,,0.25,1100
5097,,,29.58,1200
5098,2,6,3.08,1200
5099,2,1,3.33,1100
5100,5,9,10.08,1200
5101,3,,7.16,1200
5102,4,3,4.66,1200
5103,,,1.91,1100
5104,3,6,0.58,1200
5105,3,6,7.41,1200
5106,4,7,21.5,1200
5107,3,6,22.58,1200
5108,3,6,3.41,1200
5109,4,9,17.75,1200
5110,2,3,10.33,1200
5111,2,3,6.25,1200
5112,2,3,2.83,1200
5113,1,1,2.83,1100
5114,3,9,10,1200
5115,,,9.58,1200
5116,4,9,3.16,1200
5117,3,5,6.83,1100
5118,7,1,1.41,1300
5119,2,7,5.41,1200
5120,,,0.91,1200
5121,6,2,12.08,1200
5122,4,9,2.41,1200
5123,2,,1.58,1200
5124,5,7,16.91,1200
5125,,,27.91,1300
5126,2,,0.58,1200
5127,4,7,22.08,1200
5128,3,4,14.83,1100
5129,6,6,18.5,1200
5130,6,,0.16,1100
5131,,,0.66,1200
5132,3,1,0.58,1100
5133,6,9,14.5,1200
5134,,,19.08,1200
5135,,,13.66,1100
5136,6,5,29.91,1100
5137,4,6,6.41,1100
5138,3,3,4.08,1200
5139,3,5,1.5,1100
5140,2,5,5.91,1200
5141,,,6.58,1200
5142,3,7,16.5,1300
5143,,,10.91,1200
5144,3,8,1.33,1200
5145,3,3,3.83,1200
5146,,,5.5,1300
5147,,,3.25,1200
5148,5,8,31.41,1200
5149,7,5,21.33,1300
5150,,,3.5,1200
5151,7,1,17.08,1200
5152,7,1,6.16,1200
5153,4,7,21.66,1100
5154,5,8,25,1200
5155,,,3.66,1200
5156,4,7,6.58,1200
5157,5,7,21.08,1100
5158,5,6,15.16,1300
5159,,,5.5,1200
5160,,,1.16,1200
5161,4,5,15.66,1200
5162,,,2.75,1200
5163,4,2,7.5,1300
5164,4,9,5.33,1200
5165,5,2,6.75,1200
5166,5,4,9.58,1300
5167,3,5,7.41,1200
5168,,,1.58,1200
5169,2,1,3.41,1200
5170,,,3.83,1200
5171,3,9,3.58,1300
5172,4,9,24.66,1200
5173,4,7,6.16,1200
5174,,3,4.08,1200
5175,7,5,8.25,1300
5176,4,9,4.16,1200
5177,5,7,15.66,1200
5178,,,15.08,1200
5179,4,5,10.33,1100
5180,2,6,6.83,1200
5181,4,3,3.16,1200
5182,2,4,8.58,1200
5183,1,3,11.66,1200
5184,4,8,13.41,1200
5185,,,0.91,1200
5186,,,1.58,1200
5187,3,9,9.16,1200
5188,6,5,37.33,1200
5189,,,5,1300
5190,,,3.66,1200
5191,,,9.83,1200
5192,6,4,29.25,1100
5193,,,15.66,1200
5194,,3,6.41,1100
5195,6,3,5.16,1200
5196,3,6,13.58,1200
5197,,,4.16,1200
5198,,,34,1200
5199,4,3,1.33,1300
5200,5,6,20.58,1200
5201,1,5,2.83,1200
5202,2,6,5.91,1200
5203,,,2.41,1200
5204,,,15.41,1200
5205,4,3,17.41,1200
5206,3,6,4.41,1200
5207,,,7.16,1200
5208,,,3.83,1200
5209,7,2,19.83,1300
5210,,,0.66,1200
5211,,,3.58,1100
5212,5,7,34,1200
5213,3,5,8.66,1200
5214,4,8,6.91,1200
5215,7,3,19.83,1200
5216,,,3.08,1200
5217,5,6,25.91,1200
5218,3,5,5,1300
5219,7,1,13,1300
5220,,,2.66,1200
5221,7,2,40.33,1200
5222,5,9,28.5,1200
5223,7,6,15.83,1200
5224,2,4,9.41,1200
5225,3,3,9.25,1200
5226,1,,7,1200
5227,5,9,21.33,1200
5228,3,6,7.16,1200
5229,3,3,13.66,1200
5230,2,8,6.58,1200
5231,5,6,4.58,1200
5232,4,5,26.16,1100
5233,1,7,2.75,1200
5234,5,3,2.41,1200
5235,5,6,24.66,1200
5236,7,3,16.58,1100
5237,7,3,19.08,1200
5238,4,6,16.33,1200
5239,4,1,0.75,1300
5240,,,9.83,1200
5241,5,5,6.91,1200
5242,3,8,20.16,1200
5243,5,6,0.33,1200
5244,,5,16.25,1200
5245,7,1,4.5,1200
5246,2,3,0.66,1200
5247,4,6,2.5,1300
5248,5,9,35.08,1200
5249,7,8,22.08,1200
5250,4,7,21.25,1200
5251,3,,1,1200
5252,3,6,13.33,1200
5253,5,9,11.66,1200
5254,1,1,2.25,1200
5255,,,10.83,1200
5256,4,6,11.5,1100
5257,,,2.66,1100
5258,2,,0.83,1200
5259,5,7,10.75,1200
5260,3,4,0.33,1200
5261,1,8,4,1200
5262,2,1,2.16,1200
5263,,,4.41,1200
5264,,,20,1200
5265,2,9,6,1200
5266,3,6,8.08,1200
5267,2,6,5.75,1100
5268,3,3,6,1200
5269,3,8,1,1200
5270,3,6,6.5,1200
5271,,,1.66,1200
5272,3,6,5.25,1200
5273,2,6,3.41,1200
5274,3,4,22.41,1200
5275,3,7,4.83,1200
5276,,,7.5,1200
5277,4,6,1.33,1200
5278,2,6,7.41,1200
5279,3,5,12.83,1300
5280,4,4,6.83,1200
5281,2,5,13.58,1200
5282,7,3,17,1200
5283,,,2.08,1200
5284,7,6,31.66,1200
5285,3,1,8.41,1200
5286,7,3,22.08,1300
5287,4,9,7,1200
5288,3,3,6.16,1200
5289,7,7,3.83,1200
5290,,,3.5,1200
5291,7,6,9.75,1200
5292,,,4.66,1200
5293,2,7,11.83,1200
5294,4,5,31.25,1200
5295,,,13.91,1200
5296,6,3,12.58,1200
5297,4,4,11.5,1300
5298,,,0.5,1200
5299,7,2,24.25,1300
5300,2,6,5.25,1200
5301,2,9,8.66,1200
5302,7,1,9,1200
5303,5,8,1.5,1200
5304,5,9,3.83,1200
5305,7,5,10.75,1200
5306,5,6,28.58,1200
5307,3,4,6.58,1100
5308,1,2,2.5,1100
5309,,,4.41,1200
5310,2,1,0.41,1200
5311,6,4,18,1300
5312,5,5,3.58,1200
5313,,,5.75,1200
5314,4,7,16.08,1200
5315,,3,5.41,1200
5316,5,8,19.08,1200
5317,2,6,6.41,1200
5318,,,38.25,1200
5319,6,6,14.91,1200
5320,4,6,7.58,1200
5321,6,1,14.83,1300
5322,3,3,10.16,1100
5323,,,3.83,1200
5324,,,5.16,1200
5325,6,4,17.83,1200
5326,2,8,6.33,1200
5327,,,12.58,1300
5328,2,2,5.66,1200
5329,5,9,8.58,1200
5330,2,5,3.5,1200
5331,,,1.08,1300
5332,3,5,14.5,1200
5333,,,11.33,1300
5334,1,1,10.5,1100
5335,3,7,9.08,1200
5336,2,6,7.58,1200
5337,5,6,18.33,1300
5338,,,6.33,1300
5339,,,1.08,1100
5340,7,3,17.08,1200
5341,3,6,2.25,1200
5342,7,2,7.75,1200
5343,5,6,14.5,1200
5344,,4,0.66,1100
5345,,,0.33,1200
5346,6,7,13.66,1200
5347,2,5,3.25,1200
5348,,,4,1200
5349,,1,4.66,1300
5350,5,8,1,1200
5351,3,9,6.41,1300
5352,,,1.41,1200
5353,4,5,6.25,1200
5354,2,3,3.75,1100
5355,6,7,15,1200
5356,7,7,30.08,1200
5357,7,2,6.66,1200
5358,,1,2.66,1200
5359,6,5,2.41,1200
5360,6,6,25,1200
5361,,,1.75,1300
5362,3,6,8.91,1200
5363,2,6,9.66,1200
5364,5,6,1,1200
5365,4,7,1.41,1200
5366,,,0.5,1200
5367,,,4.33,1100
5368,3,5,11.41,1200
5369,1,7,6.83,1200
5370,6,1,22.08,1200
5371,3,,0.75,1200
5372,,1,3.5,1300
5373,,,0.16,1200
5374,5,5,19.58,1200
5375,,,2.75,1200
5376,2,6,10.75,1200
5377,7,1,28.83,1100
5378,2,6,7.5,1200
5379,2,1,4.91,1200
5380,7,2,10.91,1300
5381,,,3.58,1200
5382,2,7,4.91,1200
5383,2,9,5.33,1200
5384,2,9,1.66,1200
5385,5,,8.08,1200
5386,4,6,7.33,1100
5387,,,14.16,1200
5388,,,7.83,1200
5389,3,5,14.83,1200
5390,5,6,24.16,1200
5391,5,6,8,1200
5392,,,8.91,1200
5393,,,18.91,1100
5394,,,9.66,1200
5395,3,9,5.25,1200
5396,3,3,1.83,1200
5397,,,15.41,1200
5398,,,16.41,1200
5399,,,20.58,1300
5400,5,6,31.33,1200
5401,2,6,0.58,1200
5402,,,16.58,1200
5403,,,7.16,1100
5404,6,5,30.33,1200
5405,4,6,3.83,1200
5406,3,1,0.16,1300
5407,,,1.33,1200
5408,,,6.58,1200
5409,3,7,2.25,1200
5410,1,7,9.91,1200
5411,3,9,11.08,1200
5412,,,0.75,1200
5413,,,0.41,1300
5414,,,15.5,1100
5415,1,1,0.91,1100
5416,,,15.66,1200
5417,2,7,5.75,1200
5418,3,5,2.25,1200
5419,4,8,11,1200
5420,,,1.16,1200
5421,3,6,10.75,1200
5422,7,6,33.66,1300
5423,6,6,5.41,1200
5424,6,7,6.33,1100
5425,4,4,8.5,1300
5426,6,6,18.58,1200
5427,3,7,23.66,1200
5428,,,12.41,1200
5429,7,7,29.83,1200
5430,,,1.5,1200
5431,,,25.25,1300
5432,5,7,2.33,1200
5433,5,6,17.83,1200
5434,7,3,22.25,1200
5435,5,5,5.25,1100
5436,2,6,0.66,1200
5437,3,7,5.16,1200
5438,3,6,11.16,1200
5439,1,1,5.58,1200
5440,3,9,12.83,1200
5441,6,5,7.66,1200
5442,3,6,23.41,1200
5443,7,3,1.08,1200
5444,4,7,0.75,1200
5445,,,5.91,1200
5446,6,4,34.25,1300
5447,3,6,5.5,1200
5448,,,7.83,1200
5449,4,5,18.5,1200
5450,3,7,7.41,1200
5451,4,7,30.08,1200
5452,3,9,10,1200
5453,3,1,1.5,1100
5454,4,4,0.5,1300
5455,2,7,13.25,1200
5456,6,8,8,1200
5457,7,1,20,1200
5458,3,7,6.91,1200
5459,7,3,18.08,1200
5460,,,16.75,1200
5461,4,6,11.58,1200
5462,7,9,19.83,1200
5463,2,8,3.5,1300
5464,3,5,11,1200
5465,2,4,6.83,1200
5466,4,5,11.75,1200
5467,,,0.91,1200
5468,5,7,27.33,1200
5469,3,5,13.58,1200
5470,,,3.41,1200
5471,4,7,14.5,1200
5472,,,2.66,1200
5473,4,6,19.41,1100
5474,,,21.41,1200
5475,7,5,19.16,1200
5476,4,9,7.91,1200
5477,4,1,10.33,1200
5478,2,2,1.75,1200
5479,4,9,8.16,1200
5480,4,7,7.66,1200
5481,,,0.5,1200
5482,2,8,0.16,1200
5483,,,7.66,1200
5484,7,5,10.58,1200
5485,3,6,7.41,1200
5486,2,6,5.41,1200
5487,6,6,16.75,1300
5488,,,0.58,1300
5489,4,4,2.41,1100
5490,4,7,23.41,1200
5491,,,20.58,1100
5492,6,4,23.75,1200
5493,2,5,4.83,1200
5494,4,4,7.16,1100
5495,2,3,7.91,1200
5496,3,9,2.33,1200
5497,4,5,9.66,1100
5498,4,6,4.25,1200
5499,,,29.83,1300
5500,,,8.75,1200
5501,,,0.25,1300
5502,6,5,7.41,1200
5503,7,2,11.25,1200
5504,,,3.16,1300
5505,4,8,1.33,1200
5506,4,6,18.33,1200
5507,6,3,19.16,1200
5508,,,3.25,1200
5509,3,7,3.91,1200
5510,,,10.33,1200
5511,3,5,2.83,1300
5512,,,18.5,1300
5513,5,6,8.66,1200
5514,2,6,11.08,1200
5515,7,9,17.75,1200
5516,4,9,27.25,1200
5517,1,6,3.41,1200
5518,,,6.5,1200
5519,5,6,9.5,1200
5520,,,2.16,1200
5521,5,8,10,1200
5522,2,3,6.08,1200
5523,3,3,9.41,1200
5524,2,8,6.5,1200
5525,7,5,5.16,1300
5526,6,3,31,1300
5527,,,2.66,1100
5528,6,5,2.83,1200
5529,2,4,10.25,1200
5530,3,6,16,1200
5531,,,6.66,1200
5532,2,2,11.5,1200
5533,4,9,17.25,1200
5534,,,4.91,1100
5535,3,7,13.41,1200
5536,7,5,9.41,1300
5537,5,6,10.5,1200
5538,6,3,30,1200
5539,,,4.66,1200
5540,6,7,29.75,1200
5541,4,,6,1200
5542,6,1,9.41,1100
5543,6,5,37.33,1200
5544,2,1,8.66,1100
5545,4,6,4.66,1200
5546,7,4,17,1200
5547,3,9,3.08,1300
5548,,,7.41,1200
5549,,,6.25,1200
5550,6,6,13.08,1200
5551,,,18.75,1200
5552,,,3.08,1200
5553,3,9,11.16,1200
5554,,1,6.75,1200
5555,,,0.66,1200
5556,,,16.25,1200
5557,7,5,8.66,1100
5558,,,3.16,1200
5559,,8,3.33,1200
5560,4,6,3.58,1200
5561,4,8,3.66,1200
5562,4,9,1.83,1200
5563,3,6,9.5,1200
5564,2,4,5,1200
5565,2,3,4.08,1200
5566,,,9.75,1200
5567,4,5,7.25,1200
5568,3,6,10.66,1200
5569,,,10.83,1200
5570,5,1,28.5,1200
5571,3,1,5.41,1100
5572,7,6,4.83,1200
5573,2,4,2.83,1200
5574,5,8,11.58,1200
5575,,,25.91,1300
5576,6,6,23.08,1200
5577,,,8.91,1200
5578,5,6,22.25,1100
5579,4,8,2.66,1200
5580,4,3,6.41,1200
5581,,,3.25,1200
5582,,,0.58,1200
5583,3,3,7.41,1200
5584,,,14.33,1200
5585,6,3,33.5,1100
5586,2,1,3.58,1200
5587,,,8.58,1200
5588,3,9,13.83,1200
5589,3,5,4.5,1200
5590,2,6,5.83,1100
5591,7,2,17.33,1200
5592,7,6,12.66,1200
5593,5,5,18.25,1200
5594,3,9,7,1200
5595,3,6,6.5,1200
5596,7,8,17.08,1200
5597,3,1,9.83,1200
5598,,,16.33,1200
5599,,,5.5,1200
5600,2,5,3.16,1200
5601,5,6,9.25,1200
5602,,,8.25,1300
5603,3,6,2.91,1200
5604,4,1,2.5,1200
5605,,,3.66,1300
5606,3,6,11.5,1200
5607,2,1,3.83,1200
5608,2,5,6.66,1300
5609,2,8,3.33,1200
5610,3,7,0.25,1200
5611,4,8,5.41,1200
5612,7,6,30.25,1200
5613,7,4,1.83,1300
5614,3,3,1.33,1200
5615,,,2.58,1200
5616,4,7,23.58,1200
5617,5,7,5.83,1200
5618,1,6,7.83,1200
5619,5,2,15.66,1200
5620,4,8,5.33,1200
5621,3,6,13,1200
5622,4,5,9.91,1200
5623,2,6,7.41,1200
5624,4,6,14.08,1200
5625,6,5,1.41,1200
5626,,,21,1300
5627,,,4.33,1200
5628,3,1,18.33,1200
5629,3,6,12.66,1200
5630,6,1,12.5,1100
5631,,6,10.91,1200
5632,6,2,9.58,1100
5633,,,1.75,1100
5634,2,8,8.33,1200
5635,2,6,5.16,1200
5636,4,9,5.08,1200
5637,,,3.41,1300
5638,2,6,4.16,1200
5639,4,9,10.58,1200
5640,3,6,2.66,1200
5641,7,1,22.25,1200
5642,,,1,1100
5643,3,2,7.41,1100
5644,5,9,7.83,1200
5645,3,7,8.25,1200
